tconst,season,episode,title,host
tt0060753,6,619,Red Zone Cuba,Mike
tt0062035,6,620,Danger!! Death Ray,Mike
tt0054673,6,621,The Beast of Yucca Flats,Mike
tt0078778,6,622,Angels Revenge,Mike
tt0053593,6,623,The Amazing Transparent Man,Mike
tt0055408,6,624,Samson vs. the Vampire Women,Mike
tt0047577,,M01,This Island Earth,Mike
tt0051993,7,701,Night of the Blood Beast,Mike
tt0038387,7,702,The Brute Man,Mike
tt0097174,7,703,Deathstalker and the Warriors from Hell,Mike
tt0076191,7,704,The Incredible Melting Man,Mike
tt0089104,7,705,Escape 2000,Mike
tt0077834,7,706,Laserblast,Mike
tt0048554,8,801,Revenge of the Creature,Mike
tt0054020,8,802,The Leech Woman,Mike
tt0049516,8,803,The Mole People,Mike
tt0050294,8,804,The Deadly Mantis,Mike
tt0052289,8,805,The Thing That Couldn't Die,Mike
tt0051128,8,806,The Undead,Mike
tt0052286,8,807,Terror from the Year 5000,Mike
tt0050957,8,808,The She-Creature,Mike
tt0050530,8,809,I Was a Teenage Werewolf,Mike
tt0073043,8,810,The Giant Spider Invasion,Mike
tt0078062,8,811,Parts: The Clonus Horror,Mike
tt0057181,8,812,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies,Mike
tt0058374,8,813,Jack Frost,Mike
tt0074568,8,814a,Riding with Death-a,Mike
tt0586012,8,814b,Riding with Death-b,Mike
tt0060074,8,815,Agent for H.A.R.M.,Mike
tt0053464,8,816,Prince of Space,Mike
tt0058208,8,817,The Horror of Party Beach,Mike
tt0058007,8,818,Devil Doll,Mike
tt0055562,8,819,Invasion of the Neptune Men,Mike
tt0096149,8,820,Space Mutiny,Mike
tt0145529,8,821,Time Chasers,Mike
tt0089759,8,822,Overdrawn at the Memory Bank,Mike
tt0062159,9,901,The Projected Man,Mike
tt0055294,9,902,The Phantom Planet,Mike
tt0081693,9,903,The Pumaman,Mike
tt0118137,9,904,Werewolf,Mike
tt0061557,9,905,The Deadly Bees,Mike
tt0052227,9,906,The Space Children,Mike
tt0089280,9,907,Hobgoblins,Mike
tt0066476,9,908,The Touch of Satan,Mike
tt0054938,9,909,Gorgo,Mike
tt0131550,9,910,The Final Sacrifice,Mike
tt0088100,9,911,Devil Fish,Mike
tt0052169,9,912,The Screaming Skull,Mike
tt0107910,9,913,Quest of the Delta Knights,Mike
tt0100665,10,1001,Soultaker,Mike
tt0174685,10,1002,Girl in Gold Boots,Mike
tt0174917,10,1003,Merlin's Shop of Mystical Wonders,Mike
tt0113135,10,1004,Future War,Mike
tt0072666,10,1005,Blood Waters of Dr. Z,Mike
tt0088772,10,1006,Boggy Creek II: And the Legend Continues,Mike
tt0075343,10,1007,Track of the Moon Beast,Mike
tt0087258,10,1008,Final Justice,Mike
tt0053888,10,1009,Hamlet,Mike
tt0071198,10,1010,It Lives By Night,Mike
tt0054333,10,1011,Horrors of Spider Island,Mike
tt0075261,10,1012,Squirm,Mike
tt0062861,10,1013,Diabolik,Mike
